Item,Price ea (USD),Qty,Price Total (USD),Link,notes
components,13.87,1,13.87,https://lcsc.com,see lcsc-bom.xls and excl shipping
magnet (5mmx2.5mm) 10pk,1,1,1,https://www.aliexpress.com/item/1005011595343023.html?spm=a2g0o.productlist.main.1.54d63a4eBeOKoj&algo_pvid=a983d295-ca13-43c0-a699-d8b81421c3a5&algo_exp_id=a983d295-ca13-43c0-a699-d8b81421c3a5-0&pdp_ext_f={%22order%22%3A%22114%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22}&pdp_npi=6%40dis!AUD!10.84!1.43!!!50.79!6.71!%402102f0c917818360115798670eeba0!12000056012957011!sea!AU!0!ABX!1!0!n_tag%3A-29910%3Bd%3A62728f28%3Bm03_new_user%3A-29895%3BpisId%3A5000000204867275&curPageLogUid=HDLwaCxZ9dYk&utparam-url=scene%3Asearch|query_from%3A|x_object_id%3A1005011595343023|_p_origin_prod%3A,
M3 screw 100pcs,1.25,1,1.25,https://www.aliexpress.com/item/32869840993.html,
M3 heat set insert,1,1,1,https://www.aliexpress.com/item/1005004870993068.html?algo_exp_id=5ee8bedb-45af-4e4b-8e6d-188ea2e7d1e9-2&pdp_ext_f=%7B%22order%22%3A%221246%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004870993068%7C_p_origin_prod%3A,
Tulle Fabric ,9.81,1,9.81,https://www.spotlightstores.com/en-au/p/plain-180-cm-my-special-day-tulle-fabric/BP80599805-black,
PCB 5pcs,25.57,1,25.57,https://jlcpcb.com,including shipping
xiao esp-32 c6,1,1,1,https://www.aliexpress.com/item/1005006987272421.html,
